,submitter_title,date,submitter_name,reviewer_name,reviewer_orcid,sim,count
0,Diversifying Top-K Results,20200101,Lu Qin,Hoang Vu Nguyen,907,0.11554054054054053,0
1,Diversifying Top-K Results,20200101,Lu Qin,Yuhong Li,1360,0.11554054054054053,0
2,Diversifying Top-K Results,20200101,Lu Qin,Lu Chen,1029,0.15555555555555556,0
3,Diversifying Top-K Results,20200101,Lu Qin,Abdallah Arioua,682,0.11554054054054053,0
4,Diversifying Top-K Results,20200101,Lu Qin,Abdullah Mueen,683,0.11554054054054053,0
5,Diversifying Top-K Results,20200101,Lu Qin,David B. Lomet,802,0.11861504307305325,0
6,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Raphael Bonaque,1177,0.07631578947368423,0
7,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Arian Bar,730,0.07832594463128473,0
8,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Daichi Amagata,791,0.07631578947368423,0
9,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Yudian Zheng,1358,0.11554054054054053,0
10,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Chih-Ya Shen,776,0.07832594463128473,0
11,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Michael Shekelyan,1077,0.11554054054054053,0
12,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Mingzhu Wei,1082,0.11861504307305325,0
13,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Jing Wang,960,0.12180451127819547,0
14,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Jinbao Wang,959,0.11861504307305325,0
15,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Anupam Sanghi,728,0.11861504307305325,0
16,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Daniel Schall,800,0.08040935672514621,0
