,submitter_title,date,submitter_name,reviewer_name,reviewer_orcid,sim,count
0,Diversifying Top-K Results,20200101,Lu Qin,Foteini Katsarou,866,0.07631578947368423,0
1,Diversifying Top-K Results,20200101,Lu Qin,Hoang Vu Nguyen,907,0.11554054054054053,0
2,Diversifying Top-K Results,20200101,Lu Qin,Jing Wang,960,0.07832594463128473,0
3,Diversifying Top-K Results,20200101,Lu Qin,Yuhong Li,1360,0.11554054054054053,0
4,Diversifying Top-K Results,20200101,Lu Qin,Daniel Schall,800,0.07832594463128473,0
5,Diversifying Top-K Results,20200101,Lu Qin,Marius Eich,1057,0.07832594463128473,0
6,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Chen Jason Zhang,769,0.07631578947368423,0
7,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Arian Bar,730,0.07832594463128473,0
8,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Georgia Koutrika,878,0.07631578947368423,0
9,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Yudian Zheng,1358,0.11554054054054053,0
10,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Chih-Ya Shen,776,0.07832594463128473,0
11,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Guanfeng Liu,887,0.07631578947368423,0
12,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Cristian Consonni,789,0.08040935672514621,0
13,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Mingzhu Wei,1082,0.11861504307305325,0
14,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Jing Wang,960,0.12180451127819547,0
15,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Robert Brunel,1186,0.08040935672514621,0
16,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Anupam Sanghi,728,0.11861504307305325,0
17,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Carsten Binnig,761,0.11861504307305325,0
18,A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort,20200104,Orestis Polychroniou,Foteini Katsarou,866,0.037820512820512825,0
19,A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort,20200104,Orestis Polychroniou,Puya Memarzia,1159,0.07631578947368423,0
20,A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort,20200104,Orestis Polychroniou,Christodoulos Efstathiades,780,0.037820512820512825,0
21,A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort,20200104,Orestis Polychroniou,Yongming Luo,1344,0.07832594463128473,0
22,A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort,20200104,Orestis Polychroniou,Rong-Hua Li,1191,0.03880735353897094,0
23,A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort,20200104,Orestis Polychroniou,Mingjie Tang,1081,0.03880735353897094,0
24,Making Pattern Queries Bounded in Big Graphs,20200105,Yang Cao,Foteini Katsarou,866,0.11554054054054053,0
25,Making Pattern Queries Bounded in Big Graphs,20200105,Yang Cao,Yuhong Li,1360,0.07631578947368423,0
26,Making Pattern Queries Bounded in Big Graphs,20200105,Yang Cao,Rong-Hua Li,1191,0.07832594463128473,0
27,Making Pattern Queries Bounded in Big Graphs,20200105,Yang Cao,Sutanay Choudhury,1242,0.2382352941176471,0
28,Making Pattern Queries Bounded in Big Graphs,20200105,Yang Cao,Aristides Gionis,732,0.07631578947368423,0
29,Making Pattern Queries Bounded in Big Graphs,20200105,Yang Cao,Tova Milo,1266,0.07832594463128473,0
30,Predictive Tree: An Efficient Index for Predictive Queries On Road Networks,20200106,Abdeltawab M. Hendawi,Inah Jeon,922,0.15974069235137256,0
31,Predictive Tree: An Efficient Index for Predictive Queries On Road Networks,20200106,Abdeltawab M. Hendawi,Lei Chen,1016,0.11554054054054053,0
32,Predictive Tree: An Efficient Index for Predictive Queries On Road Networks,20200106,Abdeltawab M. Hendawi,Emre Sefer,836,0.15555555555555556,0
33,Predictive Tree: An Efficient Index for Predictive Queries On Road Networks,20200106,Abdeltawab M. Hendawi,Julia Stoyanovich,971,0.12191408436135236,0
