,result
0,"('Diversifying Top-K Results', 20200101, 'Lu Qin', 'Lu Chen', 1029, 0.15555555555555556, 1)"
1,"('Diversifying Top-K Results', 20200101, 'Lu Qin', 'David B. Lomet', 802, 0.11861504307305325, 1)"
2,"('Diversifying Top-K Results', 20200101, 'Lu Qin', 'Hoang Vu Nguyen', 907, 0.11554054054054053, 1)"
3,"('A Generic Framework for Efficient and Effective Subsequence Retrieval', 20200102, 'Haohan Zhu', 'Yudian Zheng', 1358, 0.11554054054054053, 1)"
4,"('A Generic Framework for Efficient and Effective Subsequence Retrieval', 20200102, 'Haohan Zhu', 'Michael Shekelyan', 1077, 0.11554054054054053, 1)"
5,"('A Generic Framework for Efficient and Effective Subsequence Retrieval', 20200102, 'Haohan Zhu', 'Arian Bar', 730, 0.07832594463128473, 1)"
6,"('A Comparison of Flexible Schemas for Software as a Service', 20200103, 'Stefan Aulbach', 'Jing Wang', 960, 0.12180451127819547, 1)"
7,"('A Comparison of Flexible Schemas for Software as a Service', 20200103, 'Stefan Aulbach', 'Mingzhu Wei', 1082, 0.11861504307305325, 1)"
8,"('A Comparison of Flexible Schemas for Software as a Service', 20200103, 'Stefan Aulbach', 'Jinbao Wang', 959, 0.11861504307305325, 1)"
9,"('A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort', 20200104, 'Orestis Polychroniou', 'Julian Shun', 972, 0.11554054054054053, 1)"
10,"('A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort', 20200104, 'Orestis Polychroniou', 'Abdullah Mueen', 683, 0.11554054054054053, 1)"
11,"('A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort', 20200104, 'Orestis Polychroniou', 'Aristides Gionis', 732, 0.11554054054054053, 1)"
12,"('Making Pattern Queries Bounded in Big Graphs', 20200105, 'Yang Cao', 'Sutanay Choudhury', 1242, 0.2382352941176471, 1)"
13,"('Making Pattern Queries Bounded in Big Graphs', 20200105, 'Yang Cao', 'Andrey Gubichev', 717, 0.07832594463128473, 1)"
14,"('Making Pattern Queries Bounded in Big Graphs', 20200105, 'Yang Cao', 'Khaled Elmeleegy', 996, 0.07631578947368423, 1)"
15,"('Predictive Tree: An Efficient Index for Predictive Queries On Road Networks', 20200106, 'Abdeltawab M. Hendawi', 'Kenneth Fuglsang Christensen', 993, 0.19642857142857145, 1)"
16,"('Predictive Tree: An Efficient Index for Predictive Queries On Road Networks', 20200106, 'Abdeltawab M. Hendawi', 'Emre Sefer', 836, 0.15555555555555556, 1)"
17,"('Predictive Tree: An Efficient Index for Predictive Queries On Road Networks', 20200106, 'Abdeltawab M. Hendawi', 'Dimitris Bilidas', 816, 0.15555555555555556, 1)"
18,"('Kernel-Based Cardinality Estimation on Metric Data', 20200107, 'Michael Mattig', 'Gheorghi Guzun', 881, 0.11861504307305325, 1)"
19,"('Kernel-Based Cardinality Estimation on Metric Data', 20200107, 'Michael Mattig', 'Mingjie Tang', 1081, 0.11861504307305325, 1)"
20,"('Kernel-Based Cardinality Estimation on Metric Data', 20200107, 'Michael Mattig', 'Manas Joglekar', 1043, 0.11554054054054053, 1)"
21,"('Iterative Estimation of Mutual Information with Error Bounds', 20200108, 'Michael Vollmer', 'Mingzhu Wei', 1082, 0.11554054054054053, 2)"
22,"('Iterative Estimation of Mutual Information with Error Bounds', 20200108, 'Michael Vollmer', 'Jennie Duggan', 938, 0.11554054054054053, 1)"
23,"('Iterative Estimation of Mutual Information with Error Bounds', 20200108, 'Michael Vollmer', 'Yudian Zheng', 1358, 0.11554054054054053, 2)"
24,"('ERACER: A Database Approach for Statistical Inference and Data Cleaning', 20200109, 'Chris Mayfield', 'Jing Wang', 960, 0.20177670577535006, 2)"
25,"('ERACER: A Database Approach for Statistical Inference and Data Cleaning', 20200109, 'Chris Mayfield', 'Inah Jeon', 922, 0.11861504307305325, 1)"
26,"('ERACER: A Database Approach for Statistical Inference and Data Cleaning', 20200109, 'Chris Mayfield', 'Abdallah Arioua', 682, 0.11554054054054053, 1)"
27,"('Processing a Trillion Cells per Mouse Click', 20200110, 'Alexander Hall', 'Per-Ake Larson', 1140, 0.20177670577535012, 1)"
28,"('Processing a Trillion Cells per Mouse Click', 20200110, 'Alexander Hall', 'Christina Pavlopoulou', 779, 0.15555555555555556, 1)"
29,"('Processing a Trillion Cells per Mouse Click', 20200110, 'Alexander Hall', 'Peter Macko', 1145, 0.15555555555555556, 1)"
