,result
0,"('Diversifying Top-K Results', 20200101, 'Lu Qin', 'Yufei Tao', 1359, 0.15555555555555556, 1)"
1,"('Diversifying Top-K Results', 20200101, 'Lu Qin', 'Zhao Sun', 1375, 0.15555555555555556, 1)"
2,"('Diversifying Top-K Results', 20200101, 'Lu Qin', 'Hyunjung Park', 919, 0.11554054054054053, 1)"
3,"('A Generic Framework for Efficient and Effective Subsequence Retrieval', 20200102, 'Haohan Zhu', 'Ting Deng', 1262, 0.11554054054054053, 1)"
4,"('A Generic Framework for Efficient and Effective Subsequence Retrieval', 20200102, 'Haohan Zhu', 'Michael Shekelyan', 1077, 0.11554054054054053, 1)"
5,"('A Generic Framework for Efficient and Effective Subsequence Retrieval', 20200102, 'Haohan Zhu', 'Yudian Zheng', 1358, 0.11554054054054053, 1)"
6,"('A Comparison of Flexible Schemas for Software as a Service', 20200103, 'Stefan Aulbach', 'Renata Borovica-Gajic', 1180, 0.12180451127819547, 1)"
7,"('A Comparison of Flexible Schemas for Software as a Service', 20200103, 'Stefan Aulbach', 'Bogdan Cautis', 754, 0.12180451127819547, 1)"
8,"('A Comparison of Flexible Schemas for Software as a Service', 20200103, 'Stefan Aulbach', 'Arvind Arasu', 740, 0.11861504307305325, 1)"
9,"('A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort', 20200104, 'Orestis Polychroniou', 'Julian Shun', 972, 0.11554054054054053, 1)"
10,"('A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort', 20200104, 'Orestis Polychroniou', 'Aristides Gionis', 732, 0.11554054054054053, 1)"
11,"('A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort', 20200104, 'Orestis Polychroniou', 'Julia Stoyanovich', 971, 0.08048240544725077, 1)"
12,"('Making Pattern Queries Bounded in Big Graphs', 20200105, 'Yang Cao', 'Charu C. Aggarwal', 766, 0.15555555555555556, 1)"
13,"('Making Pattern Queries Bounded in Big Graphs', 20200105, 'Yang Cao', 'Udayan Khurana', 1269, 0.11554054054054053, 1)"
14,"('Making Pattern Queries Bounded in Big Graphs', 20200105, 'Yang Cao', 'Jinsoo Lee', 962, 0.11554054054054053, 1)"
15,"('Predictive Tree: An Efficient Index for Predictive Queries On Road Networks', 20200106, 'Abdeltawab M. Hendawi', 'Parth Nagarkar', 1136, 0.19642857142857145, 1)"
16,"('Predictive Tree: An Efficient Index for Predictive Queries On Road Networks', 20200106, 'Abdeltawab M. Hendawi', 'Emre Sefer', 836, 0.15555555555555556, 1)"
17,"('Predictive Tree: An Efficient Index for Predictive Queries On Road Networks', 20200106, 'Abdeltawab M. Hendawi', 'Tilmann Zaschke', 1260, 0.11861504307305325, 1)"
18,"('Kernel-Based Cardinality Estimation on Metric Data', 20200107, 'Michael Mattig', 'Sayan Ranu', 1199, 0.15974069235137256, 1)"
19,"('Kernel-Based Cardinality Estimation on Metric Data', 20200107, 'Michael Mattig', 'Thanh T. L. Tran', 1250, 0.11861504307305325, 1)"
20,"('Kernel-Based Cardinality Estimation on Metric Data', 20200107, 'Michael Mattig', 'Thanh Nguyen', 1249, 0.11861504307305325, 1)"
21,"('Iterative Estimation of Mutual Information with Error Bounds', 20200108, 'Michael Vollmer', 'Cristian Consonni', 789, 0.11861504307305325, 1)"
22,"('Iterative Estimation of Mutual Information with Error Bounds', 20200108, 'Michael Vollmer', 'Thanh T. L. Tran', 1250, 0.11861504307305325, 2)"
23,"('Iterative Estimation of Mutual Information with Error Bounds', 20200108, 'Michael Vollmer', 'Kai Zheng', 980, 0.11554054054054053, 1)"
24,"('ERACER: A Database Approach for Statistical Inference and Data Cleaning', 20200109, 'Chris Mayfield', 'Jing Wang', 960, 0.20177670577535006, 1)"
25,"('ERACER: A Database Approach for Statistical Inference and Data Cleaning', 20200109, 'Chris Mayfield', 'Daniel Tahara', 801, 0.15555555555555556, 1)"
26,"('ERACER: A Database Approach for Statistical Inference and Data Cleaning', 20200109, 'Chris Mayfield', 'Jennie Duggan ', 939, 0.15555555555555556, 1)"
27,"('Processing a Trillion Cells per Mouse Click', 20200110, 'Alexander Hall', 'Daniel Tahara', 801, 0.19642857142857145, 2)"
28,"('Processing a Trillion Cells per Mouse Click', 20200110, 'Alexander Hall', 'Hina A. Khan', 906, 0.19642857142857145, 1)"
29,"('Processing a Trillion Cells per Mouse Click', 20200110, 'Alexander Hall', 'Sudeepa Roy', 1235, 0.15555555555555556, 1)"
30,"('Fast Personalized PageRank on MapReduce', 20200111, 'Bahman Bahmani', 'Long Yuan', 1027, 0.07631578947368423, 1)"
31,"('Fast Personalized PageRank on MapReduce', 20200111, 'Bahman Bahmani', 'Fanwei Zhu', 855, 0.07631578947368423, 1)"
32,"('Fast Personalized PageRank on MapReduce', 20200111, 'Bahman Bahmani', 'Yang Li', 1322, 0.039865827348249984, 1)"
33,"('Aggregation in Probabilistic Databases via Knowledge Compilation', 20200112, 'Robert Fink', 'Kai Zheng', 980, 0.11554054054054053, 2)"
34,"('Aggregation in Probabilistic Databases via Knowledge Compilation', 20200112, 'Robert Fink', 'Parth Nagarkar', 1136, 0.11554054054054053, 2)"
35,"('Aggregation in Probabilistic Databases via Knowledge Compilation', 20200112, 'Robert Fink', 'Raphael Bonaque', 1177, 0.11554054054054053, 1)"
36,"('Semantic and Influence aware k-RepresentativeQueries over Social Streams', 20200113, 'Yanhao Wang', 'Raphael Bonaque', 1177, 0.19642857142857145, 2)"
37,"('Semantic and Influence aware k-RepresentativeQueries over Social Streams', 20200113, 'Yanhao Wang', 'Theodoros Chondrogiannis', 1253, 0.15555555555555556, 1)"
38,"('Semantic and Influence aware k-RepresentativeQueries over Social Streams', 20200113, 'Yanhao Wang', 'Tuan-Anh Nguyen Pham', 1267, 0.15555555555555556, 1)"
39,"('A Comparison of Platforms for Implementing and Running Very Large Scale Machine Learning Algorithms', 20200114, 'Zhuhua Cai', 'Pirooz Chubak', 1154, 0.07832594463128473, 1)"
40,"('A Comparison of Platforms for Implementing and Running Very Large Scale Machine Learning Algorithms', 20200114, 'Zhuhua Cai', 'Brian E. Ruttenberg', 757, 0.07832594463128473, 1)"
41,"('A Comparison of Platforms for Implementing and Running Very Large Scale Machine Learning Algorithms', 20200114, 'Zhuhua Cai', 'Theodoros Chondrogiannis', 1253, 0.07832594463128473, 2)"
42,"('Dynamic Plan Generation for Parameterized Queries', 20200115, 'Ahmad Ghazal', 'Chuan Lei', 785, 0.19642857142857145, 1)"
43,"('Dynamic Plan Generation for Parameterized Queries', 20200115, 'Ahmad Ghazal', 'Michael J. Franklin', 1075, 0.15555555555555556, 1)"
44,"('Dynamic Plan Generation for Parameterized Queries', 20200115, 'Ahmad Ghazal', 'Feifei Li', 859, 0.15555555555555556, 1)"
45,"('E = MC3: Managing Uncertain Enterprise Data in a Cluster-Computing Environment', 20200116, 'Fei Xu', 'Dimitris Bilidas', 816, 0.15555555555555556, 1)"
46,"('E = MC3: Managing Uncertain Enterprise Data in a Cluster-Computing Environment', 20200116, 'Fei Xu', 'Thanh T. L. Tran', 1250, 0.11861504307305325, 3)"
47,"('E = MC3: Managing Uncertain Enterprise Data in a Cluster-Computing Environment', 20200116, 'Fei Xu', 'Bogdan Cautis', 754, 0.11861504307305325, 2)"
48,"('Business-Intelligence Queries with Order Dependencies in DB2', 20200117, 'Jaroslaw Szlichta', 'Meihui Zhang', 1067, 0.15974069235137256, 1)"
49,"('Business-Intelligence Queries with Order Dependencies in DB2', 20200117, 'Jaroslaw Szlichta', 'Akon Dey', 694, 0.15974069235137256, 1)"
50,"('Business-Intelligence Queries with Order Dependencies in DB2', 20200117, 'Jaroslaw Szlichta', 'Fangjin Yang ', 854, 0.1252283576242048, 1)"
51,"('Detecting Database File Tampering through Page Carving', 20200118, 'James Wagner', 'Stratos Idreos', 1234, 0.1642327847507107, 1)"
52,"('Detecting Database File Tampering through Page Carving', 20200118, 'James Wagner', 'Prasang Upadhyaya', 1157, 0.15555555555555556, 1)"
53,"('Detecting Database File Tampering through Page Carving', 20200118, 'James Wagner', 'Martin Kaufmann', 1059, 0.15555555555555556, 1)"
54,"('Track Join: Distributed Joins with Minimal Network Traffic', 20200119, 'Orestis Polychroniou', 'Alexandros Efentakis', 703, 0.15555555555555556, 1)"
55,"('Track Join: Distributed Joins with Minimal Network Traffic', 20200119, 'Orestis Polychroniou', 'Arjun Dasgupta', 733, 0.15555555555555556, 1)"
56,"('Track Join: Distributed Joins with Minimal Network Traffic', 20200119, 'Orestis Polychroniou', 'Dan Olteanu', 793, 0.15555555555555556, 1)"
57,"('ParaTimer: A Progress Indicator for MapReduce DAGs', 20200120, 'Kristi Morton', 'Martin Kaufmann', 1059, 0.19642857142857145, 2)"
58,"('ParaTimer: A Progress Indicator for MapReduce DAGs', 20200120, 'Kristi Morton', 'Brian E. Ruttenberg', 757, 0.15555555555555556, 2)"
59,"('ParaTimer: A Progress Indicator for MapReduce DAGs', 20200120, 'Kristi Morton', 'Prasang Upadhyaya', 1157, 0.15555555555555556, 2)"
60,"('PABIRS: A Data Access Middleware for Distributed File Systems', 20200121, 'Sai Wu', 'Jing Wang', 960, 0.20177670577535006, 2)"
61,"('PABIRS: A Data Access Middleware for Distributed File Systems', 20200121, 'Sai Wu', 'Shiwen Cheng', 1211, 0.19642857142857145, 1)"
62,"('PABIRS: A Data Access Middleware for Distributed File Systems', 20200121, 'Sai Wu', 'Prasang Upadhyaya', 1157, 0.19642857142857145, 3)"
63,"('Adaptive Fault-Tolerance for Dynamic Resource Provisioning in Distributed Stream Processing Systems', 20200122, 'Paolo Bellavista', 'Jennie Duggan ', 939, 0.15555555555555556, 2)"
64,"('Adaptive Fault-Tolerance for Dynamic Resource Provisioning in Distributed Stream Processing Systems', 20200122, 'Paolo Bellavista', 'Robert Brunel', 1186, 0.11861504307305325, 1)"
65,"('Adaptive Fault-Tolerance for Dynamic Resource Provisioning in Distributed Stream Processing Systems', 20200122, 'Paolo Bellavista', 'R. Uday Kiran', 1165, 0.11554054054054053, 1)"
66,"('Fast Sort on CPUs and GPUs: A Case for Bandwidth Oblivious SIMD Sort', 20200123, 'Nadathur Satish', 'Zhao Sun', 1375, 0.2382352941176471, 2)"
67,"('Fast Sort on CPUs and GPUs: A Case for Bandwidth Oblivious SIMD Sort', 20200123, 'Nadathur Satish', 'Puya Memarzia', 1159, 0.19642857142857145, 1)"
68,"('Fast Sort on CPUs and GPUs: A Case for Bandwidth Oblivious SIMD Sort', 20200123, 'Nadathur Satish', 'Jiexing Li', 957, 0.15555555555555556, 1)"
69,"('Serializability, not Serial: Concurrency Control and Availability in Multi-Datacenter Datastores', 20200124, 'Stacy Patterson', 'Manish Kesarwani', 1045, 0.15555555555555556, 1)"
70,"('Serializability, not Serial: Concurrency Control and Availability in Multi-Datacenter Datastores', 20200124, 'Stacy Patterson', 'Aravind Yalamanchi', 729, 0.11554054054054053, 1)"
71,"('Serializability, not Serial: Concurrency Control and Availability in Multi-Datacenter Datastores', 20200124, 'Stacy Patterson', 'Arvind Arasu', 740, 0.11554054054054053, 2)"
72,"('Actively Soliciting Feedback for Query Answers in Keyword Search-Based Data Integration', 20200125, 'Zhepeng Yan', 'Nikolay Laptev', 1111, 0.15555555555555556, 1)"
73,"('Actively Soliciting Feedback for Query Answers in Keyword Search-Based Data Integration', 20200125, 'Zhepeng Yan', 'Mohammad Sadoghi', 1092, 0.1293070946107876, 1)"
74,"('Actively Soliciting Feedback for Query Answers in Keyword Search-Based Data Integration', 20200125, 'Zhepeng Yan', 'Lu Li ', 1030, 0.11861504307305325, 1)"
75,"('Data Generation using Declarative Constraints', 20200126, 'Arvind Arasu', 'Abdallah Arioua', 682, 0.15555555555555556, 1)"
