,submitter_title,date,submitter_name,reviewer_name,reviewer_orcid,sim,count
0,Diversifying Top-K Results,20200101,Lu Qin,Daniel Tahara,801,0.13777622821699292,3
1,Diversifying Top-K Results,20200101,Lu Qin,Fei Li,858,0.14112752010153345,2
2,Diversifying Top-K Results,20200101,Lu Qin,Marco D. Adelfio,1051,0.14068034046604655,0
3,Diversifying Top-K Results,20200101,Lu Qin,Hoang Vu Nguyen,907,0.13777622821699292,0
4,Diversifying Top-K Results,20200101,Lu Qin,Zhao Sun,1375,0.1566467270206684,1
5,Diversifying Top-K Results,20200101,Lu Qin,Robert Isele,1187,0.17290487522277306,3
6,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Ting Deng,1262,0.10559369874958258,2
7,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Kyriakos Mouratidis,1010,0.08911375623578446,1
8,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Chen Zeng,771,0.0907397526049338,1
9,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Arlei Silva,735,0.1241249316661101,1
10,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Jeffrey Pound,936,0.10731172230190353,3
11,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Wolfgang Gatterbauer,1301,0.12553877175523953,0
12,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Zsolt Istv?n,1386,0.2208222811671088,3
13,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Daniel Tahara,801,0.22344546791278447,3
14,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Zhen Hua Liu,1377,0.1801529147405445,0
15,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Yanyan Shen,1331,0.2502593469271173,0
16,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Per-Ake Larson,1140,0.18205128205128204,0
17,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Meihui Zhang,1067,0.1879363015010636,2
