reviewer_orcid,reviewer_title_doi,reviewer_title,reviewer_paper_attribure
915,,Loom: Query-aware Partitioning of Online Graphs,graph partitioned streamed queries workloads edges partitioner techniques patterns performed loom large matches min sub systems improved given traverse likely 
1177,,"Social, Structured and Semantic Search",social tagging documents result queries semantical modelled user searching score section data structural item related exploited algorithms network answering content 
950,,DeepSea: Progressive Workload-Aware Partitioning of Materialized Views in Scalable Data Analytics,queried fragments view partitioned selecting workloads accessed base distribution adapts pattern storage evolves benefits cost modelled progressively data materialize overlaps 
897,,Privacy Preserving Similarity Evaluation of Time Series Data,database secure similar distances data timely computes series privacy section parties protocol information problems applications dynamic existing like query include 
1135,,Finding Socio-Textual Associations Among Locations,located based keyword associate approaches supported socially algorithm popular post restaurants frequently result users indexes significantly art city queries 
791,,Monitoring MaxRS in Spatial Data Streams,query examples objects algorithm sensor spatial continuous efficiency maxrs player errors given section location monitored propose communication problems streams range 
1099,,A Highly Scalable Labelling Approach for Exact Distance Queries in Complex Networks,labellings distances network graphs method times parallelism large query constructed scale trade space online searches indexing fast pages exact support 
814,,Efficient Record Linkage Using a Compact Hamming Space,data space blocks matching entity embeddings records similarity large mechanisms research strings step thresholds require lsh hamming application empirically pair 
1279,,Querying RDF Data Using A Multigraph-based Approach,rdf queries amber section information answer structurally multigraphs knowledge systems engine time sparql efficient indexed bases language previously reasonable edges 
1136,,HCS: Hierarchical Cut Selection for Efficiently Processing Queries on Data Columns using Hierarchical Bitmap,data bitmaps query range hierarchically result aggregate compressed efficiency selecting operation works column strategy algorithms structure inclusive node main cut 
728,,Scalable and Dynamic Regeneration of Big Data Volumes,data hydra regenerate databases queries approach related technique workloads sizes volumetrically similar efficient complex generator requirement evaluated depending statistical scales 
789,,Discovering Order Dependencies through Order Compatibility,ordering dependency data income dataset attribute queries discovered tax columns works lists time approaches different bracket algorithms introduce results 
779,,A Parallel and Scalable Processor for JSON Data,data parallelism process section queries systems jsoniq processors json formats time rules language vxquery like continuously memory initial efficiently specific 
