,submitter_title,date,submitter_name,reviewer_name,reviewer_orcid,sim,count
0,Diversifying Top-K Results,20200101,Lu Qin,Zhao Sun,1375,0.1566467270206684,1
1,Diversifying Top-K Results,20200101,Lu Qin,Jinbao Wang,959,0.19747638119975425,1
2,Diversifying Top-K Results,20200101,Lu Qin,Wai Kit Wong,1286,0.15426464176423,0
3,Diversifying Top-K Results,20200101,Lu Qin,Ke Wang,987,0.17498031766646188,2
4,Diversifying Top-K Results,20200101,Lu Qin,Robert Isele,1187,0.17290487522277306,3
5,Diversifying Top-K Results,20200101,Lu Qin,Per-Ake Larson,1140,0.15793486312100735,0
6,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Zhao Sun,1375,0.127457296402538,1
7,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Chih-Ya Shen,776,0.14381834164771262,1
8,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Arlei Silva,735,0.1241249316661101,1
9,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Chuanfei Xu,786,0.11024605418736774,3
10,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Norases Vesdapunt,1119,0.1241249316661101,0
11,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Ting Deng,1262,0.10559369874958258,2
12,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Daniel Tahara,801,0.22344546791278447,3
13,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Meihui Zhang,1067,0.1879363015010636,2
14,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Zsolt Istv?n,1386,0.2208222811671088,3
15,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Oliver Arnold,1123,0.1628205128205128,2
16,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Per-Ake Larson,1140,0.18205128205128204,0
17,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Willis Lang,1300,0.2015915119363396,1
18,A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort,20200104,Orestis Polychroniou,Arvind Arasu,740,0.12693907690254358,2
19,A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort,20200104,Orestis Polychroniou,Yoshitaka Yamamoto,1347,0.11274509803921573,0
20,A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort,20200104,Orestis Polychroniou,Yang Li,1322,0.13671009664787387,3
21,A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort,20200104,Orestis Polychroniou,Essam Mansour,844,0.11542868337890515,0
22,A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort,20200104,Orestis Polychroniou,Chuanfei Xu,786,0.09622707518398846,3
23,A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort,20200104,Orestis Polychroniou,Theodoros Chondrogiannis,1253,0.09414727010993644,0
24,Making Pattern Queries Bounded in Big Graphs,20200105,Yang Cao,Saad Aljubayrin,1195,0.1521939465913685,2
25,Making Pattern Queries Bounded in Big Graphs,20200105,Yang Cao,Foteini Katsarou,866,0.19575416878805627,3
26,Making Pattern Queries Bounded in Big Graphs,20200105,Yang Cao,Xiaodong Li,1308,0.17023831301943926,1
