,result
0,"('Diversifying Top-K Results', 20200101, 'Lu Qin', 'Jinbao Wang', 959, 0.19747638119975425, 2)"
1,"('Diversifying Top-K Results', 20200101, 'Lu Qin', 'Ke Wang', 987, 0.17498031766646188, 3)"
2,"('Diversifying Top-K Results', 20200101, 'Lu Qin', 'Per-Ake Larson', 1140, 0.15793486312100735, 1)"
3,"('A Generic Framework for Efficient and Effective Subsequence Retrieval', 20200102, 'Haohan Zhu', 'Chih-Ya Shen', 776, 0.14381834164771262, 2)"
4,"('A Generic Framework for Efficient and Effective Subsequence Retrieval', 20200102, 'Haohan Zhu', 'Zhao Sun', 1375, 0.127457296402538, 2)"
5,"('A Generic Framework for Efficient and Effective Subsequence Retrieval', 20200102, 'Haohan Zhu', 'Arlei Silva', 735, 0.1241249316661101, 2)"
6,"('A Comparison of Flexible Schemas for Software as a Service', 20200103, 'Stefan Aulbach', 'Willis Lang', 1300, 0.2015915119363396, 2)"
7,"('A Comparison of Flexible Schemas for Software as a Service', 20200103, 'Stefan Aulbach', 'Meihui Zhang', 1067, 0.1879363015010636, 3)"
8,"('A Comparison of Flexible Schemas for Software as a Service', 20200103, 'Stefan Aulbach', 'Per-Ake Larson', 1140, 0.18205128205128204, 2)"
9,"('A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort', 20200104, 'Orestis Polychroniou', 'Arvind Arasu', 740, 0.12693907690254358, 3)"
10,"('A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort', 20200104, 'Orestis Polychroniou', 'Essam Mansour', 844, 0.11542868337890515, 1)"
11,"('A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort', 20200104, 'Orestis Polychroniou', 'Yoshitaka Yamamoto', 1347, 0.11274509803921573, 1)"
12,"('Making Pattern Queries Bounded in Big Graphs', 20200105, 'Yang Cao', 'Xiaodong Li', 1308, 0.17023831301943926, 2)"
13,"('Making Pattern Queries Bounded in Big Graphs', 20200105, 'Yang Cao', 'Saad Aljubayrin', 1195, 0.1521939465913685, 3)"
14,"('Making Pattern Queries Bounded in Big Graphs', 20200105, 'Yang Cao', 'Anshuman Dutt', 724, 0.1373681278828549, 2)"
15,"('Predictive Tree: An Efficient Index for Predictive Queries On Road Networks', 20200106, 'Abdeltawab M. Hendawi', 'Martin Kaufmann', 1059, 0.1977450848761424, 1)"
16,"('Predictive Tree: An Efficient Index for Predictive Queries On Road Networks', 20200106, 'Abdeltawab M. Hendawi', 'Parth Nagarkar', 1136, 0.19216476350211487, 3)"
17,"('Predictive Tree: An Efficient Index for Predictive Queries On Road Networks', 20200106, 'Abdeltawab M. Hendawi', 'Kai Zheng', 980, 0.17293239555867435, 2)"
18,"('Kernel-Based Cardinality Estimation on Metric Data', 20200107, 'Michael Mattig', 'Liping Peng', 1024, 0.16821656093586507, 1)"
19,"('Kernel-Based Cardinality Estimation on Metric Data', 20200107, 'Michael Mattig', 'Kai Zheng', 980, 0.144826690500501, 3)"
20,"('Kernel-Based Cardinality Estimation on Metric Data', 20200107, 'Michael Mattig', 'Aggeliki Dimitriou', 690, 0.14265616458263766, 3)"
21,"('Iterative Estimation of Mutual Information with Error Bounds', 20200108, 'Michael Vollmer', 'Yufei Tao', 1359, 0.2172153805735996, 2)"
22,"('Iterative Estimation of Mutual Information with Error Bounds', 20200108, 'Michael Vollmer', 'Karin Murthy', 983, 0.17672413793103445, 2)"
23,"('Iterative Estimation of Mutual Information with Error Bounds', 20200108, 'Michael Vollmer', 'Moritz Kaufmann', 1096, 0.12553877175523953, 1)"
24,"('ERACER: A Database Approach for Statistical Inference and Data Cleaning', 20200109, 'Chris Mayfield', 'James Wagner', 250, 0.1499847967054318, 2)"
25,"('ERACER: A Database Approach for Statistical Inference and Data Cleaning', 20200109, 'Chris Mayfield', 'Anastasia Ailamaki', 714, 0.1445409429280397, 2)"
26,"('ERACER: A Database Approach for Statistical Inference and Data Cleaning', 20200109, 'Chris Mayfield', 'Daniel Schall', 800, 0.1129427360544226, 2)"
27,"('Processing a Trillion Cells per Mouse Click', 20200110, 'Alexander Hall', 'Mona Ahuja ', 1095, 0.25559397856603544, 2)"
28,"('Processing a Trillion Cells per Mouse Click', 20200110, 'Alexander Hall', 'Sudeepa Roy', 1235, 0.20979231018583447, 2)"
29,"('Processing a Trillion Cells per Mouse Click', 20200110, 'Alexander Hall', 'Nitin Gupta', 1117, 0.1922046086460704, 2)"
30,"('Fast Personalized PageRank on MapReduce', 20200111, 'Bahman Bahmani', 'Yang Wu', 1324, 0.1641146092457625, 2)"
31,"('Fast Personalized PageRank on MapReduce', 20200111, 'Bahman Bahmani', 'Yingxia Shao', 1341, 0.12878787878787884, 3)"
32,"('Fast Personalized PageRank on MapReduce', 20200111, 'Bahman Bahmani', 'Long Yuan', 1027, 0.10795454545454547, 1)"
33,"('Aggregation in Probabilistic Databases via Knowledge Compilation', 20200112, 'Robert Fink', 'Franc¢¬ois Goasdoue', 867, 0.17245989304812834, 3)"
34,"('Aggregation in Probabilistic Databases via Knowledge Compilation', 20200112, 'Robert Fink', 'Abhay Jha', 684, 0.1565931015731422, 1)"
35,"('Aggregation in Probabilistic Databases via Knowledge Compilation', 20200112, 'Robert Fink', 'Yun Chi', 1361, 0.15291618203113472, 1)"
36,"('Semantic and Influence aware k-RepresentativeQueries over Social Streams', 20200113, 'Yanhao Wang', 'Raphael Bonaque', 1177, 0.15526374619051495, 2)"
37,"('Semantic and Influence aware k-RepresentativeQueries over Social Streams', 20200113, 'Yanhao Wang', 'Kaiqi Zhao', 981, 0.15248425413316952, 2)"
38,"('Semantic and Influence aware k-RepresentativeQueries over Social Streams', 20200113, 'Yanhao Wang', 'Shiwen Cheng', 1211, 0.14068034046604655, 1)"
39,"('A Comparison of Platforms for Implementing and Running Very Large Scale Machine Learning Algorithms', 20200114, 'Zhuhua Cai', 'Xin Huang', 1315, 0.11310412137483355, 2)"
40,"('A Comparison of Platforms for Implementing and Running Very Large Scale Machine Learning Algorithms', 20200114, 'Zhuhua Cai', 'Yasuko Matsubara', 1334, 0.09101143046671968, 2)"
41,"('A Comparison of Platforms for Implementing and Running Very Large Scale Machine Learning Algorithms', 20200114, 'Zhuhua Cai', 'Xuan Liu', 1319, 0.09101143046671968, 3)"
42,"('Dynamic Plan Generation for Parameterized Queries', 20200115, 'Ahmad Ghazal', 'Sudip Roy', 723, 0.2165488001515448, 2)"
43,"('Dynamic Plan Generation for Parameterized Queries', 20200115, 'Ahmad Ghazal', 'Alexander Kalinin', 700, 0.2165488001515448, 3)"
44,"('Dynamic Plan Generation for Parameterized Queries', 20200115, 'Ahmad Ghazal', 'Martin Kaufmann', 1059, 0.1977450848761424, 2)"
45,"('E = MC3: Managing Uncertain Enterprise Data in a Cluster-Computing Environment', 20200116, 'Fei Xu', 'Hoang Vu Nguyen', 907, 0.13777622821699292, 1)"
46,"('E = MC3: Managing Uncertain Enterprise Data in a Cluster-Computing Environment', 20200116, 'Fei Xu', 'David Broneske', 803, 0.135438799587715, 1)"
47,"('E = MC3: Managing Uncertain Enterprise Data in a Cluster-Computing Environment', 20200116, 'Fei Xu', 'Sutanay Choudhury', 1242, 0.135438799587715, 1)"
48,"('Business-Intelligence Queries with Order Dependencies in DB2', 20200117, 'Jaroslaw Szlichta', 'Sudeepa Roy', 1235, 0.135438799587715, 3)"
49,"('Business-Intelligence Queries with Order Dependencies in DB2', 20200117, 'Jaroslaw Szlichta', 'Vince Barany', 1282, 0.11622454106382064, 1)"
50,"('Business-Intelligence Queries with Order Dependencies in DB2', 20200117, 'Jaroslaw Szlichta', 'Michael J. Franklin', 1075, 0.09881536444005563, 1)"
51,"('Detecting Database File Tampering through Page Carving', 20200118, 'James Wagner', 'Haichuan Shang', 890, 0.13200065307587489, 3)"
52,"('Detecting Database File Tampering through Page Carving', 20200118, 'James Wagner', 'Matteo Interlandi', 1063, 0.12878787878787884, 1)"
53,"('Detecting Database File Tampering through Page Carving', 20200118, 'James Wagner', 'Daniel Schall', 800, 0.1143615829274506, 3)"
54,"('Track Join: Distributed Joins with Minimal Network Traffic', 20200119, 'Orestis Polychroniou', 'David Broneske', 803, 0.2263036862646166, 2)"
55,"('Track Join: Distributed Joins with Minimal Network Traffic', 20200119, 'Orestis Polychroniou', 'Anastasia Ailamaki', 714, 0.1855500490563073, 3)"
56,"('Track Join: Distributed Joins with Minimal Network Traffic', 20200119, 'Orestis Polychroniou', 'Ling Gu', 1023, 0.16243754088025608, 3)"
57,"('ParaTimer: A Progress Indicator for MapReduce DAGs', 20200120, 'Kristi Morton', 'Mona Ahuja ', 1095, 0.1564935064935065, 3)"
58,"('ParaTimer: A Progress Indicator for MapReduce DAGs', 20200120, 'Kristi Morton', 'Yag ?©¥z Karg©¥n', 1321, 0.1499847967054318, 1)"
59,"('ParaTimer: A Progress Indicator for MapReduce DAGs', 20200120, 'Kristi Morton', 'Michael J. Franklin', 1075, 0.13736996354373973, 2)"
60,"('PABIRS: A Data Access Middleware for Distributed File Systems', 20200121, 'Sai Wu', 'Sudip Roy', 723, 0.17467588902559691, 3)"
61,"('Adaptive Fault-Tolerance for Dynamic Resource Provisioning in Distributed Stream Processing Systems', 20200122, 'Paolo Bellavista', 'Mirco Stern', 1086, 0.20979231018583447, 1)"
62,"('Adaptive Fault-Tolerance for Dynamic Resource Provisioning in Distributed Stream Processing Systems', 20200122, 'Paolo Bellavista', 'Emad Soroush', 835, 0.15799150991684258, 3)"
63,"('Adaptive Fault-Tolerance for Dynamic Resource Provisioning in Distributed Stream Processing Systems', 20200122, 'Paolo Bellavista', 'Per-Ake Larson', 1140, 0.15392912301642964, 3)"
64,"('Fast Sort on CPUs and GPUs: A Case for Bandwidth Oblivious SIMD Sort', 20200123, 'Nadathur Satish', 'Jiefeng Cheng', 956, 0.18461224438607346, 2)"
65,"('Fast Sort on CPUs and GPUs: A Case for Bandwidth Oblivious SIMD Sort', 20200123, 'Nadathur Satish', 'Zhao Sun', 1375, 0.14612420100070908, 3)"
66,"('Serializability, not Serial: Concurrency Control and Availability in Multi-Datacenter Datastores', 20200124, 'Stacy Patterson', 'Konstantina Bereta', 1000, 0.113927190178734, 2)"
67,"('Serializability, not Serial: Concurrency Control and Availability in Multi-Datacenter Datastores', 20200124, 'Stacy Patterson', 'Jennie Duggan ', 939, 0.11132246254528863, 3)"
68,"('Serializability, not Serial: Concurrency Control and Availability in Multi-Datacenter Datastores', 20200124, 'Stacy Patterson', 'Sudipto Das', 1236, 0.09649380403087604, 1)"
69,"('Actively Soliciting Feedback for Query Answers in Keyword Search-Based Data Integration', 20200125, 'Zhepeng Yan', 'Joachim Selke', 963, 0.1878940187044416, 1)"
70,"('Actively Soliciting Feedback for Query Answers in Keyword Search-Based Data Integration', 20200125, 'Zhepeng Yan', 'Liping Peng', 1024, 0.17882081279686154, 2)"
71,"('Actively Soliciting Feedback for Query Answers in Keyword Search-Based Data Integration', 20200125, 'Zhepeng Yan', 'Michael T. Goodrich', 1078, 0.1694045955783718, 1)"
72,"('Data Generation using Declarative Constraints', 20200126, 'Arvind Arasu', 'Henrietta Dombrovskaya', 903, 0.1497326203208556, 3)"
73,"('Data Generation using Declarative Constraints', 20200126, 'Arvind Arasu', 'Fei Li', 858, 0.13436539034942288, 3)"
74,"('Dependency-Aware Reordering for Parallelizing Query Optimization in Multi-Core CPUs', 20200127, 'Wook-Shin Han', 'Nurzhan Bakibayev', 1120, 0.11561025654927752, 1)"
75,"('Dependency-Aware Reordering for Parallelizing Query Optimization in Multi-Core CPUs', 20200127, 'Wook-Shin Han', 'Yufei Tao', 1359, 0.09212991545641416, 3)"
76,"('Dependency-Aware Reordering for Parallelizing Query Optimization in Multi-Core CPUs', 20200127, 'Wook-Shin Han', 'Christina Pavlopoulou', 779, 0.09212991545641416, 2)"
77,"('Hybrid Storage Management for Database Systems', 20200128, 'Xin Liu', 'Danica Porobic', 796, 0.1369033884808355, 1)"
78,"('Efficient Indexing for Diverse Query Results', 20200129, 'Lu Li ', 'Nodira Khoussainova', 1118, 0.15148535912948388, 1)"
79,"('Efficient Indexing for Diverse Query Results', 20200129, 'Lu Li ', 'Damian Bursztyn', 792, 0.13454162609202028, 1)"
80,"('Hardware-Oblivious Parallelism for In-Memory Column-Stores', 20200130, 'Max Heimel ', 'David Broneske', 803, 0.3279708634735947, 3)"
81,"('Hardware-Oblivious Parallelism for In-Memory Column-Stores', 20200130, 'Max Heimel ', 'Arjun Dasgupta', 733, 0.16588868547234126, 2)"
82,"('Hardware-Oblivious Parallelism for In-Memory Column-Stores', 20200130, 'Max Heimel ', 'Abhay Jha', 684, 0.14708727213165584, 2)"
83,"('SpatialHadoop: A MapReduce Framework for Spatial Data', 20200131, 'Ahmed Eldawy', 'Kai Ren', 978, 0.2853123291652753, 1)"
84,"('SpatialHadoop: A MapReduce Framework for Spatial Data', 20200131, 'Ahmed Eldawy', 'Liping Peng', 1024, 0.1898801457639492, 3)"
85,"('SpatialHadoop: A MapReduce Framework for Spatial Data', 20200131, 'Ahmed Eldawy', 'Yu Sun', 1350, 0.1878940187044416, 2)"
86,"('3-HOP: A High-Compression Indexing Scheme for Reachability Query', 20200201, 'Ruoming Jin', 'David Luaces', 806, 0.20868324196677326, 2)"
87,"('3-HOP: A High-Compression Indexing Scheme for Reachability Query', 20200201, 'Ruoming Jin', 'Xiaodong Li', 1308, 0.16703025125088633, 3)"
